Start,End,Role,Company,Where,Field,Why
06/01/21,08/20/21,Data Science Intern,Microsoft,"Redmond, WA",Data science,Evaluated double machine learning for estimating device specific causal effect of operating system update using AB test data
06/01/21,08/20/21,Data Science Intern,Microsoft,"Redmond, WA",Data science,"Processed terabytes of device telemetry data using internal SQL-like tools and Spark to clean, merge, and engineer features for analysis"
06/01/21,08/20/21,Data Science Intern,Microsoft,"Redmond, WA",Data science,"Shared problem findings throughout the team and to senior leadership, including a presentation for the Chief Product Officer"
05/21/18,08/10/18,Data Science Intern,Adobe,"Lehi, UT",Data science,"Implemented infrastructure for computing distances between approximate state space model posterior densities using R, Stan, and C++"
05/21/18,08/10/18,Data Science Intern,Adobe,"Lehi, UT",Data science,Evaluated machine learning models for predicting approximate inference quality for state space models
05/21/18,08/10/18,Data Science Intern,Adobe,"Lehi, UT",Data science,Demonstrated viability of model for predicting when MAP gives accurate estimates
06/22/15,06/30/17,Associate,AllianceBernstein,"New York, NY",Finance,Guided investment decisions in Emerging Markets Multi Asset Portfolio with more than one billion dollars in assets by developing regression model for emerging market equity and foreign exchange returns
06/22/15,06/30/17,Associate,AllianceBernstein,"New York, NY",Finance,Guided investment decisions for variance swap sleeves with tens of millions of dollars in assets by building Matlab tools for back testing market timing and selection strategies and developing regression model for predicting variance swap returns
06/22/15,06/30/17,Associate,AllianceBernstein,"New York, NY",Finance,Expanded firmâ€™s risk management and volatility forecasting capability by modeling option implied volatility surface
06/22/15,06/30/17,Associate,AllianceBernstein,"New York, NY",Finance,"Enabled firm to fulfill additional requests for proposals by creating realistic option simulator in Matlab, supporting trading, expiration, transaction costs, and hedging behavior with multiple assets"
06/22/15,06/30/17,Associate,AllianceBernstein,"New York, NY",Finance,Communicated model results to team through daily updating Excel reports with Matlab COM automation and SQL server
